Time,Open,Close,High,Low,Amount,Volume
2023-02-25 22:25:00,1583.04,1584.49,1584.49,1581.03,45.5741464,72143.023283198
2023-02-25 22:30:00,1584.5,1586.32,1587.41,1583.78,139.3414685,220982.960632938
2023-02-25 22:35:00,1586.5,1587.89,1587.94,1584.48,68.2095087,108201.34550843
2023-02-25 22:40:00,1587.88,1587.03,1589.25,1586.68,66.6863422,105908.018435258
2023-02-25 22:45:00,1586.95,1587.37,1588.01,1585.38,28.6760656,45493.258009475
2023-02-25 22:50:00,1587.48,1592.26,1592.86,1586.98,100.0087354,159059.206198647
2023-02-25 22:55:00,1592.25,1591.74,1593,1590.44,60.7575517,96709.358260612
2023-02-25 23:00:00,1591.6,1592.57,1592.57,1589.48,100.2897948,159534.265228453
2023-02-25 23:05:00,1592.56,1590.49,1592.92,1590.09,103.6323104,164888.212283921
2023-02-25 23:10:00,1590.49,1589.68,1591.37,1589.68,80.3622805,127839.732041016
2023-02-25 23:15:00,1589.67,1593.37,1593.5,1589.67,61.5466311,97962.784985933
2023-02-25 23:20:00,1593.51,1595.16,1595.45,1593.36,218.3768113,348216.314776661
2023-02-25 23:25:00,1595.17,1596.82,1597.02,1594.13,59.91230588,95591.750933257
2023-02-25 23:30:00,1596.82,1595.58,1597.09,1593.85,47.0944474,75153.202377912
2023-02-25 23:35:00,1595.43,1593.77,1595.56,1593.67,39.353489,62753.067129035
2023-02-25 23:40:00,1593.78,1593.37,1594.76,1592.71,47.6826625,75973.253846065
2023-02-25 23:45:00,1593.32,1592.78,1593.32,1592.71,62.497987,99558.724942909
2023-02-25 23:50:00,1592.92,1594.9,1595.21,1592.92,45.7771374,72952.784363911
2023-02-25 23:55:00,1594.89,1594.57,1595.81,1594.54,38.1167175,60794.29864476
2023-02-26 00:00:00,1594.56,1593,1594.57,1593,54.5153969,86896.7197716
2023-02-26 00:05:00,1593,1593.58,1594,1592.91,34.979083,55744.299519525
2023-02-26 00:10:00,1593.39,1590.99,1593.39,1590.35,53.9404691,85869.338737939
2023-02-26 00:15:00,1590.99,1593.4,1593.53,1590.99,61.4678779,97860.973382785
2023-02-26 00:20:00,1593.39,1591.73,1593.53,1591.58,26.5978567,42351.592176523
